quantityOfAnimal;quantityOfGrass;AvgEnergy;AvgLifespan;AvgQuantityOfChildren
50,0;0;90,00;0;0,00
50,0;2;89,00;0;0,00
52,0;4;84,62;0;0,08
55,0;5;79,42;0;0,18
56,0;7;77,02;0;0,21
58,0;9;73,40;0;0,28
59,0;11;71,17;0;0,31
61,0;11;68,52;0;0,36
61,0;12;67,85;0;0,36
65,0;14;62,74;0;0,46
66,0;14;61,41;0;0,48
69,0;14;58,36;0;0,55
69,0;15;57,65;0;0,55
70,0;16;56,13;0;0,57
70,0;15;55,99;0;0,57
71,0;14;55,06;0;0,59
72,0;15;53,58;0;0,61
73,0;16;52,14;0;0,63
75,0;16;50,31;0;0,67
76,0;18;48,66;0;0,68
77,0;18;47,56;0;0,70
78,0;19;46,22;0;0,72
79,0;20;44,90;0;0,73
82,0;20;42,78;0;0,78
83,0;20;41,76;0;0,80
83,0;22;40,76;0;0,80
83,0;21;40,48;0;0,80
84,0;21;39,49;0;0,81
84,0;22;38,73;0;0,81
